URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.65938	0.68068	0.00287	0.43411	0.66082	0.00	0.66039	0.00	6.596	0.999	0	27.67
Wordpress 6.9 main page	20	100	20	PHP - previous master	084e409694	https://github.com/php/php-src/commit/084e409694	0.66277	0.68352	0.00230	0.34701	0.66416	0.51	0.66368	0.50	6.595	0.000	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.66219	0.68283	0.00213	0.32151	0.66339	0.39	0.66308	0.41	7.889	0.000	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.59380	0.59696	0.00063	0.10513	0.59478	-9.99	0.59463	-9.96	1.653	0.000	0	27.05
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42594	0.43265	0.00127	0.29708	0.42839	0.00	0.42857	0.00	0.499	0.999	0	7.94
bench.php	10	100	2	PHP - previous master	084e409694	https://github.com/php/php-src/commit/084e409694	0.44074	0.44826	0.00147	0.33167	0.44416	3.68	0.44409	3.62	0.164	0.000	0	7.95
bench.php	10	100	2	PHP - master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.44087	0.44841	0.00173	0.38904	0.44426	3.71	0.44415	3.63	0.354	0.000	0	7.95
bench.php	10	100	2	PHP - master (JIT)	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.13802	0.14393	0.00128	0.90932	0.14086	-67.12	0.14092	-67.12	0.022	0.000	0	7.95

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_19_00_50_28_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-19 00:50:28
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.46114	0.46962	0.00112	0.24187	0.46194	0.00	0.46178	0.00	6.416	0.999	0	27.63
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.45805	0.46163	0.00074	0.16179	0.45875	-0.69	0.45852	-0.71	2.098	0.000	0	27.02
Laravel 12.11.0 demo app	50	100	100	PHP - master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.45810	0.46293	0.00074	0.16131	0.45885	-0.67	0.45860	-0.69	2.887	0.000	0	27.02
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.43876	0.44364	0.00064	0.14465	0.43951	-4.86	0.43943	-4.84	4.268	0.000	0	27.02
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.76265	0.78375	0.00257	0.33308	0.77084	0.00	0.77057	0.00	1.515	0.999	0	27.66
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.76083	0.77941	0.00324	0.42186	0.76747	-0.44	0.76876	-0.23	-0.252	0.000	0	27.05
Symfony 2.8.0 demo app	50	100	100	PHP - master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.76168	0.77944	0.00144	0.18756	0.76900	-0.24	0.76885	-0.22	2.731	0.000	0	27.05
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.73930	0.98414	0.09439	11.46804	0.82309	6.78	0.79137	2.70	0.716	0.051	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.66002	0.68207	0.00351	0.53075	0.66169	0.00	0.66110	0.00	5.438	0.999	0	27.66
Wordpress 6.9 main page	20	100	20	PHP - previous master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.66252	0.68344	0.00345	0.51958	0.66426	0.39	0.66357	0.37	5.266	0.000	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.66266	0.68397	0.00342	0.51508	0.66455	0.43	0.66361	0.38	4.405	0.000	0	27.05
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.59379	0.59937	0.00109	0.18276	0.59499	-10.08	0.59463	-10.05	2.740	0.000	0	27.05
bench.php	10	100	2	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42561	0.43337	0.00140	0.32697	0.42825	0.00	0.42797	0.00	0.560	0.999	0	7.93
bench.php	10	100	2	PHP - previous master	03ca08948d	https://github.com/php/php-src/commit/03ca08948d	0.44085	0.44963	0.00166	0.37403	0.44399	3.67	0.44407	3.76	0.606	0.000	0	7.93
bench.php	10	100	2	PHP - master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.44068	0.44734	0.00166	0.37287	0.44389	3.65	0.44372	3.68	0.189	0.000	0	7.93
bench.php	10	100	2	PHP - master (JIT)	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.13753	0.14442	0.00130	0.91998	0.14105	-67.06	0.14104	-67.04	0.027	0.000	0	7.93

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_20_00_50_33_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-20 00:50:33
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.45107	0.45826	0.00071	0.15830	0.45166	0.00	0.45155	0.00	8.162	0.999	0	27.60
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.44659	0.45284	0.00065	0.14613	0.44720	-0.99	0.44714	-0.98	6.661	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.44578	0.45317	0.00076	0.17088	0.44645	-1.15	0.44630	-1.16	7.123	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.42844	0.42989	0.00028	0.06587	0.42904	-5.01	0.42901	-4.99	0.782	0.000	0	27.00
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.76810	0.77616	0.00084	0.10882	0.77394	0.00	0.77388	0.00	-2.748	0.999	0	27.61
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.76753	0.77563	0.00086	0.11177	0.77293	-0.13	0.77282	-0.14	-1.361	0.000	0	27.01
Symfony 2.8.0 demo app	50	100	100	PHP - master	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.76103	0.78367	0.00255	0.33213	0.76899	-0.64	0.76926	-0.60	2.203	0.000	0	27.00
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.89468	1.19244	0.03795	3.23733	1.17219	51.46	1.18241	52.79	-5.282	0.000	0	27.00
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.65910	0.66166	0.00044	0.06594	0.66013	0.00	0.66013	0.00	0.612	0.999	0	27.61
Wordpress 6.9 main page	20	100	20	PHP - previous master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.66109	0.68165	0.00274	0.41419	0.66243	0.35	0.66200	0.28	6.769	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - master	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.66441	0.68486	0.00274	0.41091	0.66587	0.87	0.66549	0.81	6.742	0.000	0	27.00
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.59157	0.59350	0.00036	0.06107	0.59248	-10.25	0.59243	-10.25	0.370	0.000	0	27.00
bench.php	10	100	2	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42500	0.45082	0.00274	0.64050	0.42841	0.00	0.42792	0.00	5.815	0.999	0	27.61
bench.php	10	100	2	PHP - previous master	7722a9a797	https://github.com/php/php-src/commit/7722a9a797	0.44053	0.44724	0.00139	0.31301	0.44402	3.64	0.44405	3.77	-0.069	0.000	0	27.01
bench.php	10	100	2	PHP - master	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.42329	0.43142	0.00167	0.39262	0.42657	-0.43	0.42624	-0.39	0.500	0.000	0	27.00
bench.php	10	100	2	PHP - master (JIT)	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.13829	0.14635	0.00147	1.04292	0.14106	-67.07	0.14091	-67.07	0.529	0.000	0	27.00

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_21_00_50_29_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-21 00:50:29
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.45119	0.45877	0.00119	0.26373	0.45198	0.00	0.45177	0.00	5.114	0.999	0	27.60
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.44593	0.45335	0.00076	0.16994	0.44684	-1.14	0.44671	-1.12	6.506	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.44554	0.44720	0.00032	0.07209	0.44619	-1.28	0.44614	-1.25	1.054	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.42682	0.42840	0.00031	0.07194	0.42733	-5.45	0.42727	-5.42	1.477	0.000	0	27.00
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.76964	0.78681	0.00226	0.29229	0.77469	0.00	0.77422	0.00	4.417	0.999	0	27.61
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.77070	0.78384	0.00135	0.17455	0.77194	-0.35	0.77170	-0.33	7.186	0.000	0	27.00
Symfony 2.8.0 demo app	50	100	100	PHP - master	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.76143	0.77190	0.00156	0.20229	0.76902	-0.73	0.76943	-0.62	-2.071	0.000	0	27.01
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	1.01415	1.20003	0.02248	1.90570	1.17988	52.30	1.18555	53.13	-5.071	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.65906	0.67981	0.00201	0.30486	0.66021	0.00	0.65998	0.00	9.502	0.999	0	27.61
Wordpress 6.9 main page	20	100	20	PHP - previous master	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.66453	0.68447	0.00271	0.40745	0.66580	0.85	0.66538	0.82	6.682	0.000	0	27.00
Wordpress 6.9 main page	20	100	20	PHP - master	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.66507	0.68751	0.00288	0.43258	0.66635	0.93	0.66590	0.90	6.814	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.59218	0.59458	0.00039	0.06619	0.59327	-10.14	0.59327	-10.11	0.483	0.000	0	27.01
bench.php	10	100	2	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42522	0.43677	0.00162	0.37762	0.42830	0.00	0.42815	0.00	1.637	0.999	0	27.61
bench.php	10	100	2	PHP - previous master	b17b699c69	https://github.com/php/php-src/commit/b17b699c69	0.42351	0.44358	0.00223	0.52181	0.42676	-0.36	0.42653	-0.38	4.363	0.000	0	27.00
bench.php	10	100	2	PHP - master	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.42287	0.43107	0.00143	0.33568	0.42625	-0.48	0.42598	-0.51	0.737	0.000	0	27.01
bench.php	10	100	2	PHP - master (JIT)	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.13751	0.14420	0.00116	0.82306	0.14058	-67.18	0.14034	-67.22	0.594	0.000	0	27.01

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_22_00_50_27_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-22 00:50:27
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skew	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.45283	0.46149	0.00087	0.19184	0.45439	0.00	0.45444	0.00	5.370	0.999	0	27.60
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.44751	0.45516	0.00104	0.23129	0.44890	-1.21	0.44878	-1.25	4.065	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.44789	0.45601	0.00085	0.18873	0.44906	-1.17	0.44901	-1.20	5.578	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.42755	0.43464	0.00090	0.21015	0.42982	-5.41	0.42986	-5.41	1.025	0.000	0	27.00
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.76840	0.77908	0.00108	0.13968	0.77649	0.00	0.77646	0.00	-3.799	0.999	0	27.61
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.76678	0.78554	0.00216	0.27895	0.77357	-0.38	0.77319	-0.42	3.510	0.000	0	27.01
Symfony 2.8.0 demo app	50	100	100	PHP - master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.76538	0.77278	0.00136	0.17644	0.76919	-0.94	0.76918	-0.94	0.053	0.000	0	27.01
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.90205	1.18326	0.03657	3.14576	1.16252	49.71	1.17259	51.02	-5.078	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.65977	0.68138	0.00352	0.53191	0.66140	0.00	0.66077	0.00	5.414	0.999	0	27.61
Wordpress 6.9 main page	20	100	20	PHP - previous master	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.66520	0.68640	0.00278	0.41650	0.66675	0.81	0.66636	0.84	6.540	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.66558	0.68669	0.00210	0.31513	0.66685	0.82	0.66660	0.88	8.671	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.59294	0.59566	0.00056	0.09494	0.59386	-10.21	0.59378	-10.14	0.722	0.000	0	27.01
bench.php	10	100	2	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42536	0.43451	0.00152	0.35452	0.42814	0.00	0.42795	0.00	1.238	0.999	0	27.61
bench.php	10	100	2	PHP - previous master	aeb8524584	https://github.com/php/php-src/commit/aeb8524584	0.42336	0.42955	0.00123	0.28951	0.42617	-0.46	0.42606	-0.44	0.310	0.000	0	27.01
bench.php	10	100	2	PHP - master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.42396	0.42962	0.00125	0.29406	0.42631	-0.43	0.42610	-0.43	0.521	0.000	0	27.01
bench.php	10	100	2	PHP - master (JIT)	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.13826	0.14513	0.00124	0.87926	0.14050	-67.18	0.14031	-67.21	0.850	0.000	0	27.01

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	CPU frequency	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2026/2026_01_23_00_50_25_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64	Intel(R) Xeon(R) Platinum 8488C	48	2400	188	6.1.158-178.288.amzn2023.x86_64	Amazon Linux 2023.9.20251117	14.2.1	1	0	0	0	2026-01-23 00:50:25
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Rel std dev %	Mean	Mean diff %	Median	Median diff %	Skewness	P-value	Instruction count	Memory usage
Laravel 12.11.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.45118	0.45861	0.00096	0.21253	0.45183	0.00	0.45168	0.00	6.410	0.999	0	27.60
Laravel 12.11.0 demo app	50	100	100	PHP - previous master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.44616	0.45281	0.00075	0.16761	0.44683	-1.11	0.44668	-1.11	5.939	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.44618	0.45301	0.00070	0.15604	0.44677	-1.12	0.44666	-1.11	7.446	0.000	0	27.00
Laravel 12.11.0 demo app	50	100	100	PHP - master (JIT)	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.42842	0.42971	0.00024	0.05510	0.42885	-5.09	0.42882	-5.06	0.943	0.000	0	27.00
Symfony 2.8.0 demo app	50	100	100	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.77326	0.78697	0.00185	0.23833	0.77486	0.00	0.77453	0.00	5.653	0.999	0	27.61
Symfony 2.8.0 demo app	50	100	100	PHP - previous master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.76977	0.78312	0.00220	0.28565	0.77157	-0.43	0.77113	-0.44	4.411	0.000	0	27.01
Symfony 2.8.0 demo app	50	100	100	PHP - master	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.76233	0.77370	0.00184	0.23850	0.77011	-0.61	0.77039	-0.54	-1.505	0.000	0	27.01
Symfony 2.8.0 demo app	50	100	100	PHP - master (JIT)	61845cc016	https://github.com/php/php-src/commit/61845cc016	1.11845	1.19595	0.01444	1.22728	1.17690	51.88	1.18115	52.50	-1.821	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.65874	0.67951	0.00203	0.30791	0.65980	0.00	0.65960	0.00	9.398	0.999	0	27.61
Wordpress 6.9 main page	20	100	20	PHP - previous master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.66432	0.68454	0.00196	0.29493	0.66563	0.88	0.66542	0.88	9.203	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - master	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.66494	0.68515	0.00266	0.39958	0.66658	1.03	0.66623	1.01	6.710	0.000	0	27.01
Wordpress 6.9 main page	20	100	20	PHP - master (JIT)	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.59242	0.59461	0.00040	0.06681	0.59331	-10.08	0.59330	-10.05	0.326	0.000	0	27.01
bench.php	10	100	2	PHP - baseline@d5f6e56	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.42510	0.43144	0.00131	0.30617	0.42801	0.00	0.42794	0.00	0.501	0.999	0	27.61
bench.php	10	100	2	PHP - previous master	65b4073922	https://github.com/php/php-src/commit/65b4073922	0.42375	0.43067	0.00151	0.35312	0.42654	-0.34	0.42653	-0.33	0.533	0.000	0	27.01
bench.php	10	100	2	PHP - master	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.42383	0.43196	0.00151	0.35486	0.42677	-0.29	0.42658	-0.32	0.677	0.000	0	27.01
bench.php	10	100	2	PHP - master (JIT)	61845cc016	https://github.com/php/php-src/commit/61845cc016	0.13837	0.14609	0.00146	1.03846	0.14067	-67.13	0.14044	-67.18	0.884	0.000	0	27.01

